learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.178422152,2.28496565247741E-8,1000.0,80.80000000000001,61.557559545738506,78.42696629213484,55.452436194895604,1000.0,495032.0
2000.0,0.385011707,4.930657524502319E-8,2000.0,87.5,75.06144859067258,86.38344226579521,74.64503042596348,2000.0,495032.0
3000.0,0.580216609,7.430551687112907E-8,3000.0,88.8,77.55906773955695,87.71929824561404,77.51004016064257,3000.0,495032.0
4000.0,0.774811347,9.922631776376939E-8,4000.0,88.2,76.37051039697543,87.08971553610503,76.16161616161617,4000.0,495032.0
5000.0,0.971191889,1.2437581788216822E-7,5000.0,89.9,79.8732613287633,89.04555314533623,79.21810699588477,5000.0,495032.0
6000.0,1.173721121,1.5031275079970352E-7,6000.0,86.6,73.28367552824554,84.97757847533633,72.70875763747455,6000.0,495032.0
7000.0,1.373301833,1.7587208111295892E-7,7000.0,88.6,77.22268620454028,87.63557483731019,77.06237424547284,7000.0,495032.0
8000.0,1.572355107,2.0136386500889436E-7,8000.0,87.3,74.60853153340479,85.98233995584988,74.49799196787149,8000.0,495032.0
9000.0,1.768308222,2.2645862663193298E-7,9000.0,88.1,76.17216909350122,86.59909909909909,76.00806451612904,9000.0,495032.0
10000.0,1.960620199,2.5108708543479654E-7,10000.0,89.3,78.63503853679966,88.54389721627409,78.68525896414343,10000.0,495032.0
11000.0,2.159844367,2.766007548934739E-7,11000.0,87.5,74.91672352209335,86.20309050772626,74.59349593495935,11000.0,495032.0
12000.0,2.361559127,3.024333823464667E-7,12000.0,88.5,76.97236684020825,87.44541484716157,76.81451612903226,12000.0,495032.0
13000.0,2.555574685,3.2728001047570475E-7,13000.0,88.2,76.44814000183624,87.03296703296704,75.96741344195519,13000.0,495032.0
14000.0,2.744589914,3.514862708093517E-7,14000.0,89.8,79.61141760614055,89.0792291220557,79.43548387096774,14000.0,495032.0
15000.0,2.942455224,3.7682591793830205E-7,15000.0,88.2,76.45734989565419,87.2844827586207,76.06490872210954,15000.0,495032.0
16000.0,3.144348551,4.0268141359779784E-7,16000.0,89.4,78.85143331417991,88.57758620689656,78.62903225806453,16000.0,495032.0
17000.0,3.339447256,4.2766675509103476E-7,17000.0,89.3,78.63947425158308,88.20286659316427,78.29614604462475,17000.0,495032.0
18000.0,3.53380603,4.525573372227658E-7,18000.0,87.3,74.58190231444789,86.05927552140506,74.39516129032258,18000.0,495032.0
19000.0,3.729691642,4.776434540651698E-7,19000.0,85.5,71.03475829005194,83.88888888888889,71.17296222664015,19000.0,495032.0
20000.0,3.92574003,5.027504168375706E-7,20000.0,87.3,74.61766610439135,86.01321585903084,74.1869918699187,20000.0,495032.0
21000.0,4.126163183,5.284176344690576E-7,21000.0,86.9,73.7704130258932,85.69868995633188,73.53535353535354,21000.0,495032.0
22000.0,4.316641805,5.528113044210504E-7,22000.0,86.0,72.07740144319945,84.26966292134831,71.42857142857143,22000.0,495032.0
23000.0,4.512510613,5.77895269256969E-7,23000.0,88.4,76.72738945509991,87.25274725274726,76.22950819672131,23000.0,495032.0
24000.0,4.701367053,6.020811942563021E-7,24000.0,87.2,74.46363661754906,86.11713665943601,74.65346534653466,24000.0,495032.0
25000.0,4.895725435,6.269717261865012E-7,25000.0,88.0,75.95498773704375,86.95652173913044,75.90361445783132,25000.0,495032.0
26000.0,5.094926673,6.524824591116919E-7,26000.0,86.8,73.61899432408666,85.30066815144765,73.75745526838966,26000.0,495032.0
27000.0,5.295239286,6.781355204234397E-7,27000.0,87.7,75.47416612164814,86.48351648351648,75.0,27000.0,495032.0
28000.0,5.484189037,7.023333953083452E-7,28000.0,86.7,73.42678579991367,85.08968609865471,73.23943661971832,28000.0,495032.0
29000.0,5.676586223,7.269727664130783E-7,29000.0,86.1,72.18108313653285,83.98617511520737,71.45790554414783,29000.0,495032.0
30000.0,5.874039526,7.522596498110105E-7,30000.0,87.3,74.45901375593274,85.96685082872928,73.81443298969073,30000.0,495032.0
31000.0,6.073483333,7.778014473673102E-7,31000.0,86.2,72.42118053335038,84.78500551267916,72.56461232604373,31000.0,495032.0
32000.0,6.263894249,8.021864465414464E-7,32000.0,87.2,74.41800972115631,85.71428571428571,74.45109780439122,32000.0,495032.0
33000.0,6.459323085,8.272140663049184E-7,33000.0,88.6,77.14945459356095,87.58169934640523,77.06237424547284,33000.0,495032.0
34000.0,6.655770715,8.523721580569219E-7,34000.0,84.6,69.16262510162316,82.33944954128441,69.01408450704226,34000.0,495032.0
35000.0,6.846345583,8.767781537656507E-7,35000.0,86.3,72.57872108756395,84.81152993348115,72.6,35000.0,495032.0
36000.0,7.05289405,9.032298105457385E-7,36000.0,88.1,76.16835157088614,87.09327548806941,76.00806451612904,36000.0,495032.0
37000.0,7.24888933,9.283299720350861E-7,37000.0,86.9,73.81905972452056,85.47671840354766,73.85229540918164,37000.0,495032.0
38000.0,7.439249188,9.527084324596906E-7,38000.0,87.2,74.37991385246033,85.93406593406594,73.33333333333333,38000.0,495032.0
39000.0,7.634178007,9.77672017479839E-7,39000.0,88.2,76.42291692474915,87.22943722943724,75.7700205338809,39000.0,495032.0
40000.0,7.829233304,1.0026517999218074E-6,40000.0,88.4,76.76514772158237,87.16814159292035,76.51821862348179,40000.0,495032.0
41000.0,8.026794537,1.0279525053894832E-6,41000.0,86.2,72.28693067716281,85.0,71.83673469387755,41000.0,495032.0
42000.0,8.220305944,1.0527345693541403E-6,42000.0,86.4,72.83997955010224,85.07135016465422,72.69076305220882,42000.0,495032.0
43000.0,8.4256706,1.0790346212217378E-6,43000.0,88.2,76.32243228817607,87.29817007534983,76.16161616161617,43000.0,495032.0
44000.0,8.617461781,1.103596384215891E-6,44000.0,86.0,72.099437604378,84.64912280701753,71.83098591549295,44000.0,495032.0
45000.0,8.810774997,1.1283530668238862E-6,45000.0,87.2,74.43599412027865,85.84070796460178,74.19354838709677,45000.0,495032.0
46000.0,9.012240802,1.154153811821834E-6,46000.0,87.5,74.97297080847315,86.23348017621146,74.79838709677419,46000.0,495032.0
47000.0,9.205153265,1.1788591719438114E-6,47000.0,86.8,73.57240959561783,85.38205980066445,72.95081967213115,47000.0,495032.0
48000.0,9.393000024,1.202915792012165E-6,48000.0,87.4,74.95866191808699,85.79481397970687,74.02061855670104,48000.0,495032.0
49000.0,9.586517319,1.2276986100243219E-6,49000.0,87.6,75.15975880927101,86.31346578366445,74.94949494949495,49000.0,495032.0
50000.0,9.780592895,1.2525529243666782E-6,50000.0,88.0,76.02215552829186,86.81318681318682,76.28458498023716,50000.0,495032.0
51000.0,9.97525766,1.2774826932763473E-6,51000.0,86.0,71.94894708369232,84.23423423423422,71.48676171079428,51000.0,495032.0
52000.0,10.170980982,1.302548026428409E-6,52000.0,88.6,77.16858397154485,87.55458515283843,77.01612903225806,52000.0,495032.0
53000.0,10.368669314,1.3278650088463517E-6,53000.0,86.9,73.77167340727986,85.54083885209714,73.48178137651821,53000.0,495032.0
54000.0,10.56253708,1.3526927099735372E-6,54000.0,89.2,78.45661601311753,88.18380743982495,78.18181818181819,54000.0,495032.0
55000.0,10.758743324,1.3778198885954833E-6,55000.0,87.7,75.32657187790865,86.68831168831169,74.84662576687117,55000.0,495032.0
56000.0,10.959408176,1.403518059441414E-6,56000.0,87.8,75.63041324427115,86.50442477876106,75.64870259481037,56000.0,495032.0
57000.0,11.153848602,1.4284190983473383E-6,57000.0,86.6,73.08891102471,84.99440089585666,72.65306122448979,57000.0,495032.0
58000.0,11.344810938,1.4528747151968004E-6,58000.0,87.6,75.20882565806572,86.50707290533188,75.2,58000.0,495032.0
59000.0,11.544023986,1.4783869605712052E-6,59000.0,87.4,74.8,86.12334801762115,74.23312883435584,59000.0,495032.0
60000.0,11.734079505,1.5027264457814704E-6,60000.0,87.6,75.2178431529299,86.40350877192982,75.1004016064257,60000.0,495032.0
61000.0,11.933552005,1.528271917910615E-6,61000.0,86.6,73.2769623484365,85.07795100222717,72.54098360655738,61000.0,495032.0
62000.0,12.135072047,1.5540796087771506E-6,62000.0,89.3,78.60564810889925,88.13747228381375,78.72763419483103,62000.0,495032.0
63000.0,12.326759995,1.5786281512234875E-6,63000.0,89.1,78.15456148789482,87.91574279379158,77.47933884297521,63000.0,495032.0
64000.0,12.528136909,1.6044175123837483E-6,64000.0,87.3,74.60812539987204,85.92017738359202,74.49799196787149,64000.0,495032.0
65000.0,12.728068859,1.630021824037989E-6,65000.0,88.3,76.57188626351622,87.08609271523179,76.45875251509054,65000.0,495032.0
66000.0,12.920413497,1.654654465576143E-6,66000.0,89.7,79.42879968044738,88.80434782608695,79.52286282306163,66000.0,495032.0
67000.0,13.118672482,1.6800445287461039E-6,67000.0,86.2,72.26297911683717,84.59821428571428,72.00811359026369,67000.0,495032.0
68000.0,13.310732887,1.704640769947471E-6,68000.0,85.9,71.89510695805394,84.15730337078652,70.92783505154638,68000.0,495032.0
