learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.154619966,1.6579002594148948E-8,1000.0,84.39999999999999,68.84536115415953,81.06796116504853,67.70186335403726,1000.0,414472.0
2000.0,0.279238744,2.994115172139472E-8,2000.0,86.2,72.41357252231901,83.252427184466,71.95121951219512,2000.0,414472.0
3000.0,0.37929499,4.0669602935740516E-8,3000.0,88.2,76.42715591638432,85.95238095238096,76.16161616161617,3000.0,414472.0
4000.0,0.479031969,5.13638210005251E-8,4000.0,85.5,71.01623091069,82.14285714285714,70.64777327935222,4000.0,414472.0
5000.0,0.577891338,6.19639380326743E-8,5000.0,88.1,76.20951619352259,85.52311435523114,75.51440329218107,5000.0,414472.0
6000.0,0.677865483,7.268358603274449E-8,6000.0,84.6,69.22806400562686,80.84577114427859,69.01408450704226,6000.0,414472.0
7000.0,0.778328718,8.345567631817112E-8,7000.0,87.2,74.43721940854117,84.54106280193236,73.66255144032921,7000.0,414472.0
8000.0,0.880946005,9.4458733112127E-8,8000.0,86.7,73.40319161700596,83.97590361445782,73.29317269076306,8000.0,414472.0
9000.0,0.98310034,1.0541215024693973E-7,9000.0,86.3,72.5710350129737,83.33333333333334,71.39874739039665,9000.0,414472.0
10000.0,1.098603198,1.1779685211922973E-7,10000.0,86.0,71.98038627038926,82.27848101265822,71.71717171717171,10000.0,414472.0
11000.0,1.203890928,1.2908624503503242E-7,11000.0,84.3,68.51688457527874,80.4483188044832,67.49482401656314,11000.0,414472.0
12000.0,1.309477041,1.4040763183014465E-7,12000.0,86.5,73.01338536086102,83.27137546468401,73.47740667976424,12000.0,414472.0
13000.0,1.413161882,1.5152515625071607E-7,13000.0,86.6,73.23083807453813,83.75757575757576,72.70875763747455,13000.0,414472.0
14000.0,1.516113811,1.625640947663515E-7,14000.0,88.2,76.4090589213742,85.96908442330559,76.01626016260163,14000.0,414472.0
15000.0,1.618189847,1.7350911635330773E-7,15000.0,88.0,75.91212744090441,85.99766627771295,75.20661157024794,15000.0,414472.0
16000.0,1.717525114,1.8416026116912976E-7,16000.0,87.3,74.60629763818572,84.62469733656175,74.6,16000.0,414472.0
17000.0,1.825892019,1.9577981616964563E-7,17000.0,88.9,77.7944930342725,86.89492325855961,77.20739219712526,17000.0,414472.0
18000.0,1.930466365,2.0699271705474497E-7,18000.0,88.7,77.4126489166067,86.31961259079904,76.55601659751038,18000.0,414472.0
19000.0,2.05084553,2.1990027705780746E-7,19000.0,88.4,76.81344820004398,86.30460448642266,76.75350701402806,19000.0,414472.0
20000.0,2.153759932,2.309351917707837E-7,20000.0,87.6,75.23803437919356,84.8964677222899,74.11273486430062,20000.0,414472.0
21000.0,2.260322272,2.423612537277407E-7,21000.0,85.3,70.5613765260021,81.71641791044776,70.77534791252485,21000.0,414472.0
22000.0,2.365968762,2.536891143985465E-7,22000.0,83.39999999999999,66.76383905689389,78.71794871794872,66.59959758551307,22000.0,414472.0
23000.0,2.473379727,2.652061694946202E-7,23000.0,86.4,72.7860664660306,83.43483556638247,72.58064516129032,23000.0,414472.0
24000.0,2.577434811,2.763633929257157E-7,24000.0,85.6,71.14980065313645,82.26600985221674,70.30927835051546,24000.0,414472.0
25000.0,2.682935759,2.876756479715949E-7,25000.0,86.4,72.82119946441775,83.55501813784765,72.8,25000.0,414472.0
26000.0,2.781972483,2.982947817522349E-7,26000.0,86.8,73.6,84.01937046004842,73.86138613861387,26000.0,414472.0
27000.0,2.883457603,3.0917644284215857E-7,27000.0,87.6,75.21734785650045,84.87804878048779,74.48559670781893,27000.0,414472.0
28000.0,2.98872918,3.204641037654131E-7,28000.0,86.1,72.17395482171311,83.00733496332519,72.31075697211156,28000.0,414472.0
29000.0,3.105170788,3.3294946235809883E-7,29000.0,85.6,71.188014213913,82.24414303329223,70.67209775967413,29000.0,414472.0
30000.0,3.209018132,3.4408441103330084E-7,30000.0,86.3,72.59605383175176,83.2107843137255,72.54509018036072,30000.0,414472.0
31000.0,3.310530365,3.549689792930355E-7,31000.0,87.4,74.8362358204186,84.69015795868773,74.12731006160163,31000.0,414472.0
32000.0,3.411985443,3.658474191534581E-7,32000.0,86.6,73.18337369168884,83.81642512077293,73.25349301397206,32000.0,414472.0
33000.0,3.51384877,3.7676963318745707E-7,33000.0,87.7,75.40944277397479,85.25179856115108,75.69169960474308,33000.0,414472.0
34000.0,3.619640339,3.8811304983838357E-7,34000.0,85.39999999999999,70.8224083903562,81.9753086419753,69.77225672877846,34000.0,414472.0
35000.0,3.724510418,3.99357660458655E-7,35000.0,84.2,68.41579210394801,80.20050125313281,67.88617886178862,35000.0,414472.0
36000.0,3.826045452,4.1024467353743813E-7,36000.0,85.9,71.79729254008384,83.01204819277108,71.39959432048681,36000.0,414472.0
37000.0,3.92784548,4.211601003866229E-7,37000.0,87.4,74.78910889504266,84.74576271186439,73.69519832985387,37000.0,414472.0
38000.0,4.037506909,4.3291845969106793E-7,38000.0,86.1,72.2488420380131,83.09002433090025,72.03219315895372,38000.0,414472.0
39000.0,4.146900603,4.4464811132357143E-7,39000.0,86.2,72.42294411050007,83.10893512851898,72.17741935483872,39000.0,414472.0
40000.0,4.254199668,4.5615316803134977E-7,40000.0,87.3,74.56887229969482,84.89892984542212,74.75149105367794,40000.0,414472.0
41000.0,4.357873048,4.672694635553327E-7,41000.0,85.39999999999999,70.92374852627218,82.12974296205631,70.02053388090349,41000.0,414472.0
42000.0,4.459393783,4.781549434352397E-7,42000.0,86.1,72.13758819756254,82.77571251548946,72.08835341365462,42000.0,414472.0
43000.0,4.56118401,4.890693193800126E-7,43000.0,86.1,72.16102543560984,83.33333333333333,71.63265306122449,43000.0,414472.0
44000.0,4.660781119,4.99748539995549E-7,44000.0,84.1,68.16434406535319,79.66751918158567,67.28395061728394,44000.0,414472.0
45000.0,4.762457458,5.106507043903113E-7,45000.0,85.6,71.17601844734818,81.81818181818181,70.49180327868852,45000.0,414472.0
46000.0,4.868326789,5.220024590096974E-7,46000.0,87.7,75.43439185140804,85.42654028436019,75.4980079681275,46000.0,414472.0
47000.0,4.975138691,5.334552800531581E-7,47000.0,87.2,74.42455242966753,84.688995215311,73.98373983739837,47000.0,414472.0
48000.0,5.088308261,5.455897969797025E-7,48000.0,87.4,74.7515229240141,84.89208633093524,74.74949899799599,48000.0,414472.0
49000.0,5.198310757,5.573847269213303E-7,49000.0,87.3,74.64482794419466,84.5873786407767,74.2914979757085,49000.0,414472.0
50000.0,5.308879551,5.692403777145656E-7,50000.0,85.7,71.37114211124815,81.94444444444444,71.39999999999999,50000.0,414472.0
51000.0,5.433776731,5.826323782743244E-7,51000.0,86.2,72.45783853906795,83.08823529411762,71.83673469387755,51000.0,414472.0
52000.0,5.537026577,5.937032607027909E-7,52000.0,86.9,73.78322126160742,83.74689826302729,73.26530612244898,52000.0,414472.0
53000.0,5.642490379,6.050115327984321E-7,53000.0,86.7,73.3769977260353,83.58024691358025,72.68993839835728,53000.0,414472.0
54000.0,5.746497992,6.161636661893957E-7,54000.0,85.8,71.6652831875359,82.61933904528765,71.37096774193547,54000.0,414472.0
55000.0,5.84819259,6.270677883908773E-7,55000.0,84.7,69.38579500888412,80.20698576972833,69.39999999999999,55000.0,414472.0
56000.0,5.953677052,6.383782757385489E-7,56000.0,85.8,71.6,82.61933904528765,71.19675456389452,56000.0,414472.0
57000.0,6.059394217,6.497137144798888E-7,57000.0,86.1,72.17529165899317,82.81829419035847,71.86234817813765,57000.0,414472.0
58000.0,6.157385899,6.602207944651672E-7,58000.0,85.1,70.16491393879201,81.55940594059405,69.83805668016194,58000.0,414472.0
